"","Consumption","Generation","Price_buy","Price_sold","Power","Price_shed","periods"
"01/01/2020 00:00:00","39","0","0.047189","0.0354","555","1","6"
"01/01/2020 01:00:00","78","0","0.047189","0.03198","555","1","6"
"01/01/2020 02:00:00","37","0","0.047189","0.0305","555","1","6"
"01/01/2020 03:00:00","73","0","0.047189","0.02879","555","1","6"
"01/01/2020 04:00:00","50","0","0.047189","0.02842","555","1","6"
"01/01/2020 05:00:00","119","0","0.047189","0.02875","555","1","6"
"01/01/2020 06:00:00","252","0","0.047189","0.03416","555","1","6"
"01/01/2020 07:00:00","276","0","0.047189","0.04207","555","1","6"
"01/01/2020 08:00:00","278","0","0.097592","0.04489","300","1","2"
"01/01/2020 09:00:00","326","0.10342","0.097592","0.04526","300","1","2"
"01/01/2020 10:00:00","255","0.17955","0.10813","0.04557","300","1","1"
"01/01/2020 11:00:00","276","0.55604","0.10813","0.04509","300","1","1"
"01/01/2020 12:00:00","316","0.67326","0.10813","0.04516","300","1","1"
"01/01/2020 13:00:00","303","0.72428","0.097592","0.0449","300","1","2"
"01/01/2020 14:00:00","315","0.71056","0.097592","0.04406","300","1","2"
"01/01/2020 15:00:00","250","0.62974","0.097592","0.04394","300","1","2"
"01/01/2020 16:00:00","304","0.48339","0.097592","0.04437","300","1","2"
"01/01/2020 17:00:00","294","0.27121","0.097592","0.04605","300","1","2"
"01/01/2020 18:00:00","300","0","0.10813","0.04672","300","1","1"
"01/01/2020 19:00:00","341","0","0.10813","0.04611","300","1","1"
"01/01/2020 20:00:00","288","0","0.10813","0.0437","300","1","1"
"01/01/2020 21:00:00","367","0","0.097592","0.042","300","1","2"
"01/01/2020 22:00:00","348","0","0.097592","0.0386","300","1","2"
"01/01/2020 23:00:00","322","0","0.097592","0.03339","300","1","2"
"02/01/2020 00:00:00","39","0","0.047189","0.0354","555","1","6"
"02/01/2020 01:00:00","78","0","0.047189","0.03198","555","1","6"
"02/01/2020 02:00:00","37","0","0.047189","0.0305","555","1","6"
"02/01/2020 03:00:00","73","0","0.047189","0.02879","555","1","6"
"02/01/2020 04:00:00","50","0","0.047189","0.02842","555","1","6"
"02/01/2020 05:00:00","119","0","0.047189","0.02875","555","1","6"
"02/01/2020 06:00:00","252","0","0.047189","0.03416","555","1","6"
"02/01/2020 07:00:00","276","0","0.047189","0.04207","555","1","6"
"02/01/2020 08:00:00","278","0","0.097592","0.04489","300","1","2"
"02/01/2020 09:00:00","326","0.10342","0.097592","0.04526","300","1","2"
"02/01/2020 10:00:00","255","0.17955","0.10813","0.04557","300","1","1"
"02/01/2020 11:00:00","276","0.55604","0.10813","0.04509","300","1","1"
"02/01/2020 12:00:00","316","0.67326","0.10813","0.04516","300","1","1"
"02/01/2020 13:00:00","303","0.72428","0.097592","0.0449","300","1","2"
"02/01/2020 14:00:00","315","0.71056","0.097592","0.04406","300","1","2"
"02/01/2020 15:00:00","250","0.62974","0.097592","0.04394","300","1","2"
"02/01/2020 16:00:00","304","0.48339","0.097592","0.04437","300","1","2"
"02/01/2020 17:00:00","294","0.27121","0.097592","0.04605","300","1","2"
"02/01/2020 18:00:00","300","0","0.10813","0.04672","300","1","1"
"02/01/2020 19:00:00","341","0","0.10813","0.04611","300","1","1"
"02/01/2020 20:00:00","288","0","0.10813","0.0437","300","1","1"
"02/01/2020 21:00:00","367","0","0.097592","0.042","300","1","2"
"02/01/2020 22:00:00","348","0","0.097592","0.0386","300","1","2"
"02/01/2020 23:00:00","322","0","0.097592","0.03339","300","1","2"
"03/01/2020 00:00:00","300","0","0.047189","0.03205","555","1","6"
"03/01/2020 01:00:00","154","0","0.047189","0.03075","555","1","6"
"03/01/2020 02:00:00","103","0","0.047189","0.02997","555","1","6"
"03/01/2020 03:00:00","98","0","0.047189","0.0298","555","1","6"
"03/01/2020 04:00:00","93","0","0.047189","0.02974","555","1","6"
"03/01/2020 05:00:00","114","0","0.047189","0.02987","555","1","6"
"03/01/2020 06:00:00","281","0","0.047189","0.03121","555","1","6"
"03/01/2020 07:00:00","274","0","0.047189","0.03673","555","1","6"
"03/01/2020 08:00:00","301","0","0.097592","0.0429","300","1","2"
"03/01/2020 09:00:00","321","0.09962","0.097592","0.046","300","1","2"
"03/01/2020 10:00:00","244","0.36841","0.10813","0.04723","300","1","1"
"03/01/2020 11:00:00","322","0.52676","0.10813","0.04603","300","1","1"
"03/01/2020 12:00:00","305","0.64533","0.10813","0.0449","300","1","1"
"03/01/2020 13:00:00","304","0.32483","0.097592","0.04444","300","1","2"
"03/01/2020 14:00:00","300","0.31764","0.097592","0.04119","300","1","2"
"03/01/2020 15:00:00","254","0.58398","0.097592","0.0395","300","1","2"
"03/01/2020 16:00:00","313","0.44629","0.097592","0.0395","300","1","2"
